PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,ESG_ranking
12.58,3.73,0.38,3.19,3.01,1.49,LOW
11.39,1.26,1.71,0.54,15.7,0.92,GOOD
10.58,5.64,1.67,2.6,15.68,1.91,AVERAGE
11.09,3.27,0.36,1.25,3.17,1.6,LOW
9.38,5.46,1.87,0.81,19.91,0.99,GOOD
21.03,4.56,2.27,10.83,10.74,1.32,AVERAGE
75.28,1.05,18.34,9.66,24.55,13.06,GOOD
10.34,1.71,1.63,0,16.29,1.19,AVERAGE
15.98,0.96,1.76,0.64,11.05,0.94,GOOD
9.51,5.99,2.11,0.84,22.43,1.02,GOOD
9.3,2.58,0.21,1.77,2.27,1.43,LOW
34.49,0.96,0.77,0.52,2.41,0.61,GOOD
12.49,5.7,2.09,3.31,16.61,2.22,AVERAGE